Algoritmo;TipoEntrada;Tamanho;TempoSegundos;MemoriaKB;ComplexidadeTeorica;Sucesso
HeapSort;ordenada;10;0.00039709999964543385;0.2734375;O(n log n);True
QuickSort;ordenada;10;5.330000021785963e-05;0.5390625;O(n log n) médio, O(n²) pior;True
MergeSort;ordenada;10;6.770000072719995e-05;0.2890625;O(n log n);True
BubbleSort;ordenada;10;2.5299999833805487e-05;0.109375;O(n²);True
SelectionSort;ordenada;10;1.7299999854003545e-05;0.109375;O(n²);True
InsertionSort;ordenada;10;9.60000033956021e-06;0.078125;O(n²);True
TimSort;ordenada;10;5.599999894911889e-06;0.1484375;O(n log n);True
HeapSort;reversa;10;1.900000006571645e-05;0.2734375;O(n log n);True
QuickSort;reversa;10;4.2099999518541154e-05;0.421875;O(n log n) médio, O(n²) pior;True
MergeSort;reversa;10;4.620000072463881e-05;0.2890625;O(n log n);True
BubbleSort;reversa;10;2.300000051036477e-05;0.109375;O(n²);True
SelectionSort;reversa;10;1.539999993838137e-05;0.109375;O(n²);True
InsertionSort;reversa;10;1.2700000297627412e-05;0.078125;O(n²);True
TimSort;reversa;10;4.399999852466863e-06;0.1484375;O(n log n);True
HeapSort;aleatoria;10;2.27999998969608e-05;0.2734375;O(n log n);True
QuickSort;aleatoria;10;3.980000019510044e-05;0.9609375;O(n log n) médio, O(n²) pior;True
MergeSort;aleatoria;10;6.519999988086056e-05;0.2578125;O(n log n);True
BubbleSort;aleatoria;10;1.849999989644857e-05;0.109375;O(n²);True
SelectionSort;aleatoria;10;1.4999999621068127e-05;0.109375;O(n²);True
InsertionSort;aleatoria;10;6.600000233447645e-06;0.078125;O(n²);True
TimSort;aleatoria;10;4.800000169780105e-06;0.1484375;O(n log n);True
HeapSort;parcialmente_ordenada;10;2.2899999748915434e-05;0.2734375;O(n log n);True
QuickSort;parcialmente_ordenada;10;4.269999953976367e-05;0.375;O(n log n) médio, O(n²) pior;True
MergeSort;parcialmente_ordenada;10;4.7900000026857015e-05;0.2890625;O(n log n);True
BubbleSort;parcialmente_ordenada;10;2.8100000236008782e-05;0.109375;O(n²);True
SelectionSort;parcialmente_ordenada;10;2.89999998130952e-05;0.109375;O(n²);True
InsertionSort;parcialmente_ordenada;10;7.600000571983401e-06;0.078125;O(n²);True
TimSort;parcialmente_ordenada;10;5.199999577598646e-06;0.1484375;O(n log n);True
HeapSort;muitas_duplicatas;10;2.390000008745119e-05;0.2734375;O(n log n);True
QuickSort;muitas_duplicatas;10;1.700000029813964e-05;0.3046875;O(n log n) médio, O(n²) pior;True
MergeSort;muitas_duplicatas;10;3.930000002583256e-05;0.265625;O(n log n);True
BubbleSort;muitas_duplicatas;10;2.9800000447721686e-05;0.109375;O(n²);True
SelectionSort;muitas_duplicatas;10;3.0299999707494862e-05;0.109375;O(n²);True
