Algoritmo;TipoEntrada;Tamanho;TempoSegundos;MemoriaKB
HeapSort;ordenada;10;0.0;0.265625
BubbleSort;ordenada;10;0.0;0.109375
SelectionSort;ordenada;10;0.0;0.109375
InsertionSort;ordenada;10;0.0;0.078125
HeapSort;reversa;10;0.0;0.265625
BubbleSort;reversa;10;0.0;0.109375
SelectionSort;reversa;10;0.0;0.109375
InsertionSort;reversa;10;0.0;0.078125
HeapSort;aleatoria;10;0.0;0.265625
BubbleSort;aleatoria;10;0.0;0.109375
SelectionSort;aleatoria;10;0.0;0.109375
InsertionSort;aleatoria;10;0.0;0.078125
HeapSort;ordenada;100;0.0;0.265625
BubbleSort;ordenada;100;0.0;0.109375
SelectionSort;ordenada;100;0.0010001659393310547;0.109375
InsertionSort;ordenada;100;0.0;0.078125
HeapSort;reversa;100;0.0;0.265625
BubbleSort;reversa;100;0.0010013580322265625;0.109375
SelectionSort;reversa;100;0.0009992122650146484;0.109375
InsertionSort;reversa;100;0.0;0.078125
HeapSort;aleatoria;100;0.0;0.265625
BubbleSort;aleatoria;100;0.001001596450805664;0.109375
SelectionSort;aleatoria;100;0.0005061626434326172;0.109375
InsertionSort;aleatoria;100;0.0;0.078125
HeapSort;ordenada;1000;0.015013456344604492;0.49609375
BubbleSort;ordenada;1000;0.381711483001709;0.27734375
SelectionSort;ordenada;1000;0.29271864891052246;0.27734375
InsertionSort;ordenada;1000;0.0022287368774414062;0.15234375
HeapSort;reversa;1000;0.006996631622314453;0.49609375
BubbleSort;reversa;1000;0.8455455303192139;0.27734375
SelectionSort;reversa;1000;0.290407657623291;0.27734375
InsertionSort;reversa;1000;0.4486379623413086;0.15234375
HeapSort;aleatoria;1000;0.012567520141601562;0.49609375
BubbleSort;aleatoria;1000;0.6859321594238281;0.27734375
SelectionSort;aleatoria;1000;0.2888939380645752;0.27734375
InsertionSort;aleatoria;1000;0.2850673198699951;0.15234375
HeapSort;ordenada;10000;0.1789555549621582;0.74609375
BubbleSort;ordenada;10000;61.5250141620636;0.27734375
SelectionSort;ordenada;10000;30.96682620048523;0.27734375
InsertionSort;ordenada;10000;0.020674943923950195;0.15234375
HeapSort;reversa;10000;0.1471545696258545;0.74609375
BubbleSort;reversa;10000;138.3395435810089;0.27734375
SelectionSort;reversa;10000;30.906685829162598;0.27734375
InsertionSort;reversa;10000;70.75974678993225;0.15234375
HeapSort;aleatoria;10000;0.16878437995910645;0.74609375
BubbleSort;aleatoria;10000;104.14222574234009;0.27734375
SelectionSort;aleatoria;10000;32.026726961135864;0.27734375
InsertionSort;aleatoria;10000;39.86005473136902;0.15234375
